country_code,key,nombre,url,vigencia_inicio,vigencia_fin,beneficio,descripcion
CO,dto_tienda,Descuento en Toda la Tienda,https://promos.rappi.com/colombia/2026/descuentoentiendaco,2026-01-01,2026-12-31,Porcentaje de descuento sobre el valor total del pedido (el porcentaje específico dependerá de lo que indique el banner o pieza publicitaria en la app).,"Esta es la legal ""comodín"". Úsala cuando la marca quiera dar un descuento general en toda su tienda (Ej: ""Hoy 20% OFF en toda la carta""). Sirve para cualquier porcentaje porque el número exacto se pone en el banner, no en el texto."
CO,dto_prod,Descuento en Productos Seleccionados,https://promos.rappi.com/colombia/2026/descuentoprodselecc,2026-01-01,2026-12-31,Descuento porcentual directo (Precio tachado),"Respaldo legal para ofertas de ""precio tachado"" en la App. Úsalo cuando negocies descuentos directos en productos específicos para que el usuario vea la rebaja automáticamente en la tienda (sin cupones)."
CO,dto_valor,Descuento en Valor,https://promos.rappi.com/colombia/2026/dtoenvalor,2026-01-01,2026-12-31,Descuento de monto fijo (Dinero OFF),"Respaldo legal para descuentos de valor monetario específico. A diferencia del porcentual, este aplica cuando se rebaja una cantidad exacta de dinero al producto (ej. ""$5.000 OFF""). Úsalo cuando la negociación sea por monto fijo directo en el precio del producto."
CO,dto_nuevos_turbo,Descuento para Usuarios Nuevos en Turbo,https://promos.rappi.com/colombia/2026/1/10/trminos-y-condiciones-campaa-de-descuento-para-usuarios-nuevos-en-turbo,2026-01-01,2026-12-31,Porcentaje de descuento sobre el valor de los productos (el porcentaje específico y el tope máximo dependerán de lo que indique el banner o pieza publicitaria en la app).,"Esta es la legal ""comodín"" de ADQUISICIÓN para Turbo. Úsala cuando la campaña sea exclusiva para usuarios que NUNCA han comprado en Turbo (Ej: ""50% OFF en Fruver en tu 1ra compra""). Sirve para cualquier categoría del Botón Turbo (Fruver, Licores, Snacks) pero NO aplica para Turbo Restaurantes."
CO,envio_gratis,Envío Gratis,https://promos.rappi.com/colombia/enviogratis,2026-01-01,2026-12-31,Costo de envío $0,"Respaldo legal para eliminar el costo de envio (cobro de domicilio) al usuario. (ej. ""Envío Gratis por compras superiores a $X""). El descuento se refleja automáticamente en el check out."
CO,tarifa_servicio,Tarifa de Servicio Gratis,https://promos.rappi.com/colombia/tarifadeservicio,2026-02-01,2026-10-31,Tarifa de servicio $0 (Service Fee OFF),"Respaldo legal para no cobrar la tarifa de servicio. Ojo: No incluye el envío, solo la tarifa de servicio. Úsalo cuando se quiera eliminar esta barrera de costo adicional para el usuario."
CO,dto_prod_pro,Descuento en Productos Seleccionados Rappi Pro,https://promos.rappi.com/colombia/2026/descuento-en-productos-seleccionados-rappipro,2026-01-01,2026-12-31,Precio tachado exclusivo para suscriptores (Descuento Pro),"Respaldo legal para descuentos exclusivos de la membresía. Úsalo cuando se quiera dar un beneficio diferencial solo a usuarios Rappi Pro (segmentado). El usuario normal verá el precio full, el usuario Pro verá el precio tachado."
CO,dto_tienda_pro,Descuento en Toda la Tienda Rappi Pro,https://promos.rappi.com/colombia/2026/descuento-en-toda-la-tienda-rappipro,2026-01-01,2026-12-31,% OFF en todo el menú para suscriptores (Exclusivo Pro),"Respaldo legal para descuentos generales en el menú exclusivos para miembros rappi pro. Úsalo para negociaciones donde se quiera premiar la fidelidad del usuario Pro. El descuento aplica a todo el catálogo de la tienda participante, pero solo es visible y aplicable para usuarios con la membresía activa."
CO,dto_valor_pro,Descuento en Valor Rappi Pro,https://promos.rappi.com/colombia/2026/descuento-en-valor-rappi-pro,2026-01-01,2026-12-31,Descuento de monto fijo exclusivo para suscriptores ($ OFF),"Respaldo legal para descuentos de dinero fijo exclusivos para miembros rappi pro. Similar al ""Descuento en Valor"" normal, pero el beneficio de restar un monto exacto (ej. ""$10.000 OFF"") solo aplica y es visible para usuarios Rappi Pro."
CO,dto_membresia_pro,Descuento en la Membresía Rappi Pro,https://promos.rappi.com/colombia/2026/descuentos-en-membresia-rappipro,2026-01-01,2026-12-31,Descuento en el valor de la suscripción (Fee de Membresía OFF),Respaldo legal para vender la membresía Rappi Pro más barata. Úsalo exclusivamente cuando la oferta sea sobre el precio de la suscripcion. No sirve para descuentos en comida o productos.
CO,cupon_membresia_pro,Cupones de Descuento para Membresía Rappi Pro y Black,https://promos.rappi.com/colombia/2024/trminos-y-condiciones-cupones-de-descuento-para-la-membresa-rappi-pro-y-rappi-pro-black,2026-01-01,2026-12-31,Descuento en la suscripción vía Código (Cupón),Respaldo legal para códigos promocionales que rebajan el precio de la membresía. Úsalo para estrategias donde entregas un código alfanumérico que el usuario debe redimir manualmente para pagar menos por su plan Rappi Pro.
CO,cupon_valor_fijo,Cupon de descuento - Valor fijo,https://promos.rappi.com/colombia/cuponvalorfijoco,2026-01-01,2026-12-31,,
CO,cupon_tienda,Cupon de descuento - Toda la tienda,https://promos.rappi.com/colombia/cupondescuentoco,2026-01-01,2026-12-31,,
